"tool_id","tool_slug","workflow_slug","is_primary"
"75e2bbe4-59e8-455f-be50-b5617cd81b1f","bmr-female-calculator","workflow-bmr-female-calculator-standard","true"
"7aa8af2e-526e-4434-ab91-c1aa86f271e8","hourly-wage-calculator","workflow-hourly-wage-calculator-standard","true"
"488a5158-e18d-4c55-8f44-3c5ea63f45f6","zakat-calculator","workflow-zakat-calculator-standard","true"
"bdf35d4b-dde1-4714-8521-e87284a2d895","gold-zakat-calculator","workflow-gold-zakat-calculator-standard","true"
"26cf6d61-88a5-4d48-a838-46284d15dd58","net-after-tax-calculator","workflow-net-after-tax-calculator-standard","true"
"49085892-6850-47ea-9e5f-59e9782a4e9d","daily-wage-calculator","workflow-daily-wage-calculator-standard","true"
"e8fd856f-4f53-45a9-93f7-d2562e3be84f","overtime-pay-calculator","workflow-overtime-pay-calculator-standard","true"
"00bffa6d-3814-4768-a1f7-254c40072d9b","retirement-years-remaining-calculator","workflow-retirement-years-remaining-calculator-standard","true"
"2acffddc-ea0f-4bb1-912d-32bfc88cf856","employer-payroll-cost","workflow-employer-payroll-cost-standard","true"
"b59e352a-ecd5-49fa-b992-f3ed303b147d","operating-leverage-calculator","workflow-operating-leverage-calculator-standard","true"
"aa3a0585-fa87-404a-a2cd-de230aa561ab","sales-per-employee-calculator","workflow-sales-per-employee-calculator-standard","true"
"dff703a3-910f-42f5-b1c1-1613b8e9b6ab","revenue-per-customer-calculator","workflow-revenue-per-customer-calculator-standard","true"
"616843bc-8b58-4040-9a28-e6856313ba30","inventory-days-calculator","workflow-inventory-days-calculator-standard","true"
"0eddf0fa-e76d-4207-952a-8e91660f7643","receivable-days-calculator","workflow-receivable-days-calculator-standard","true"
"72e18709-2d54-4b42-b94b-e618fa11c9ad","payable-days-calculator","workflow-payable-days-calculator-standard","true"
"b5aeedb7-4c37-4f07-b95d-5ae42dff2b60","square-diagonal-calculator","workflow-square-diagonal-calculator-standard","true"
"a5934fb8-26cf-47c6-b82b-f5763437497a","cash-conversion-cycle-calculator","workflow-cash-conversion-cycle-calculator-standard","true"
"1579dd6a-9cf3-4ca3-851b-dd2377657711","customer-concentration-calculator","workflow-customer-concentration-calculator-standard","true"
"ad3aedb0-e399-42c4-819e-19432c0f202c","weighted-mean-calculator","workflow-weighted-mean-calculator-standard","true"
"f50bff6d-4f3b-47ed-a20c-7db19b232459","proportion-value-calculator","workflow-proportion-value-calculator-standard","true"
"fa128149-9191-4de0-9734-5d2f56c1d833","geometric-mean-two-values","workflow-geometric-mean-two-values-standard","true"
"3a034aef-5435-4906-8480-a70f4d798064","harmonic-mean-two-values","workflow-harmonic-mean-two-values-standard","true"
"4e5cdf38-352f-4761-bc1e-c7d8524fa2e9","circle-circumference-calculator","workflow-circle-circumference-calculator-standard","true"
"25604cef-2541-490a-a85a-d8a7b2a04c1c","trapezoid-area-calculator","workflow-trapezoid-area-calculator-standard","true"
"150f88a4-0fe1-43c2-8901-6f105c949683","regular-polygon-angle-calculator","workflow-regular-polygon-angle-calculator-standard","true"
"68867733-9424-4b28-af7c-6d630c1d2700","minutes-to-decimal-hours","workflow-minutes-to-decimal-hours-standard","true"
"d5fc3a82-b25e-41df-914b-af85dd05cf05","decimal-hours-to-minutes","workflow-decimal-hours-to-minutes-standard","true"
"bd1d426e-3700-41d6-b719-c2af44502d20","workdays-to-hours-calculator","workflow-workdays-to-hours-calculator-standard","true"
"698495b3-ff9a-4dc4-a7f6-7a755facbb35","shifts-to-hours-calculator","workflow-shifts-to-hours-calculator-standard","true"
"1a7763b9-e404-4524-a255-acd22f612ef3","weekly-hours-to-monthly-hours","workflow-weekly-hours-to-monthly-hours-standard","true"
"d56f0aa9-a68a-463a-b69c-fe654af135a3","meeting-person-hours-calculator","workflow-meeting-person-hours-calculator-standard","true"
"24549f53-3086-46d9-84ff-0027168ffe3a","production-time-per-unit","workflow-production-time-per-unit-standard","true"
"44bf0d4b-4582-4fe4-a207-6606572e4649","task-throughput-per-hour","workflow-task-throughput-per-hour-standard","true"
"78efcd00-a5cd-43bb-8c29-d78e01df2c59","target-weight-by-bmi","workflow-target-weight-by-bmi-standard","true"
"2deedf0d-5ccc-4cc7-afa8-6b245bc5b5df","walking-pace-calculator","workflow-walking-pace-calculator-standard","true"
"b6f148b7-f368-400e-8d25-958933823782","running-speed-calculator","workflow-running-speed-calculator-standard","true"
"25cc18cf-f655-4391-a051-6361b7dea62b","protein-target-calculator","workflow-protein-target-calculator-standard","true"
"3a09ef44-29e0-4805-aa72-446d71def568","body-fat-mass-calculator","workflow-body-fat-mass-calculator-standard","true"
"19c91277-40ba-4852-bad7-b9ca0cb8139b","lean-body-mass-calculator","workflow-lean-body-mass-calculator-standard","true"
"2373dd5e-f661-4005-acda-18c046588fed","waist-height-ratio-calculator","workflow-waist-height-ratio-calculator-standard","true"
"03bc8599-e33a-4f9b-8426-404161c25650","calorie-deficit-duration-calculator","workflow-calorie-deficit-duration-calculator-standard","true"
"bbd5fcfb-5a33-41d4-bee2-6eaab4c7c9cf","square-foot-to-square-meter","workflow-square-foot-to-square-meter-standard","true"
"8d991524-eb72-40aa-a061-d45af8fb48a5","course-weighted-score-calculator","workflow-course-weighted-score-calculator-standard","true"
"1dc69f0b-fa1d-43ca-92c6-e2550d0f414d","final-exam-required-score","workflow-final-exam-required-score-standard","true"
"6cf670ed-4b3d-4247-9b6f-782b958da71e","attendance-rate-calculator","workflow-attendance-rate-calculator-standard","true"
"5bf0533b-4b9f-40bd-a82c-4b52f6f2a139","study-hours-per-subject","workflow-study-hours-per-subject-standard","true"
"dc10721f-bf08-486f-a90a-1a95090edef5","assignment-average-calculator","workflow-assignment-average-calculator-standard","true"
"d119bf9e-2cd1-4c5e-8dd9-f32029da63dd","grade-improvement-rate","workflow-grade-improvement-rate-standard","true"
"1c8a1ddb-56ca-40e0-9b10-7563c64d7b88","completed-credits-rate","workflow-completed-credits-rate-standard","true"
"6b5dbd9a-d304-4e33-b2f9-62d4f5812ac8","points-needed-for-target","workflow-points-needed-for-target-standard","true"
"42f1e2d0-a3fc-492a-9494-3af153432ffd","net-salary-after-deductions","workflow-net-salary-after-deductions-standard","true"
"6e8d0857-f5af-4a60-ac6c-72ed2e1aa95d","annual-compensation-calculator","workflow-annual-compensation-calculator-standard","true"
"32e4de28-624a-47e5-b16d-bfcb95cafd8c","kilometer-hour-to-mile-hour","workflow-kilometer-hour-to-mile-hour-standard","true"
"d58b45d7-677d-425a-b7eb-94f94173d7e7","vacation-pay-estimate","workflow-vacation-pay-estimate-standard","true"
"c1dc6ee3-d66d-4c1b-9458-e4bbe708f012","bonus-amount-calculator","workflow-bonus-amount-calculator-standard","true"
"c8bc217d-91d4-4c8f-a754-f86bf6a6091a","commission-plus-salary","workflow-commission-plus-salary-standard","true"
"92eb946a-56e6-4484-a61e-3eaae9eecb11","unpaid-leave-deduction","workflow-unpaid-leave-deduction-standard","true"
"defbacfb-5ee4-4f31-85ae-9c4377d25bf5","shift-premium-pay","workflow-shift-premium-pay-standard","true"
"a2e694fd-0841-481a-b50a-86c54d6b393c","customer-lifetime-value-simple","workflow-customer-lifetime-value-simple-standard","true"
"1518891f-92e9-40f4-97ee-65fcaf6048ec","lead-to-sale-rate","workflow-lead-to-sale-rate-standard","true"
"6b141d01-dfbe-4383-a579-fd463ab07eb0","marketing-efficiency-ratio","workflow-marketing-efficiency-ratio-standard","true"
"47f800ad-eae4-47ef-abaa-10870ae99148","ad-frequency-calculator","workflow-ad-frequency-calculator-standard","true"
"e3b42d04-5e11-4457-addb-5220348f5943","landing-page-bounce-rate","workflow-landing-page-bounce-rate-standard","true"
"e14ac1bd-a500-4fad-a5a5-31aae168ec71","email-click-to-open-rate","workflow-email-click-to-open-rate-standard","true"
"6788b613-db9e-436a-8844-2cc3d338557f","unsubscribe-rate-calculator","workflow-unsubscribe-rate-calculator-standard","true"
"cf56b585-6a2d-4693-8b5c-121068c7ba4f","repeat-purchase-rate","workflow-repeat-purchase-rate-standard","true"
